name,url,generics,brands
SMC Enterprise Ltd,https://medex.com.bd/companies/216/smc-enterprise-ltd/brands,55,81
Somatec Pharmaceuticals Ltd.,https://medex.com.bd/companies/125/somatec-pharmaceuticals-ltd/brands,78,137
Sonear Laboratories Ltd.,https://medex.com.bd/companies/72/sonear-laboratories-ltd/brands,19,27
Square Pharmaceuticals PLC,https://medex.com.bd/companies/73/square-pharmaceuticals-plc,610,1011
Sun Pharmaceutical (Bangladesh) Ltd.,https://medex.com.bd/companies/139/sun-pharmaceutical-bangladesh-ltd,75,154
Sun Pharmaceutical Industries Ltd.,https://medex.com.bd/companies/553/sun-pharmaceutical-industries-ltd/brands,1,1
Sunman-Birdem Pharma Ltd.,https://medex.com.bd/companies/256/sunman-birdem-pharma-ltd/brands,41,65
Supreme Pharmaceutical Ltd.,https://medex.com.bd/companies/138/supreme-pharmaceutical-ltd/brands,53,75
Synovia Pharma PLC.,https://medex.com.bd/companies/89/synovia-pharma-plc,113,249
Syntho Laboratories Ltd.,https://medex.com.bd/companies/134/syntho-laboratories-ltd/brands,14,17
Team Pharmaceuticals Ltd.,https://medex.com.bd/companies/255/team-pharmaceuticals-ltd/brands,93,149
Techno Drugs Ltd.,https://medex.com.bd/companies/95/techno-drugs-ltd/brands,117,188
The White Horse Pharmaceuticals Ltd.,https://medex.com.bd/companies/96/the-white-horse-pharmaceuticals-ltd/brands,97,145
Total Herbal & Nutraceuticals,https://medex.com.bd/companies/347/total-herbal-nutraceuticals/brands,25,31
Total Natural Company (Unani),https://medex.com.bd/companies/316/total-natural-company-unani/brands,9,11
Ultra Pharma Ltd.,https://medex.com.bd/companies/97/ultra-pharma-ltd/brands,1,1
UNIDO Pharmaceuticals Ltd.,https://medex.com.bd/companies/477/unido-pharmaceuticals-ltd/brands,12,15
UniHealth Limited,https://medex.com.bd/companies/560/unihealth-limited/brands,9,57
UniMed UniHealth Pharmaceuticals Ltd.,https://medex.com.bd/companies/77/unimed-unihealth-pharmaceuticals-ltd,350,607
Union Pharmaceuticals Ltd,https://medex.com.bd/companies/416/union-pharmaceuticals-ltd/brands,52,68
Unique Pharmaceuticals Ltd.,https://medex.com.bd/companies/204/unique-pharmaceuticals-ltd/brands,1,1
United Pharmaceuticals Ltd.,https://medex.com.bd/companies/142/united-pharmaceuticals-ltd/brands,38,47
Veritas Pharmaceuticals Ltd.,https://medex.com.bd/companies/126/veritas-pharmaceuticals-ltd/brands,70,106
Virgo Pharmaceuticals Ltd.,https://medex.com.bd/companies/158/virgo-pharmaceuticals-ltd/brands,47,68
Walmart pharma Ltd.,https://medex.com.bd/companies/541/walmart-pharma-ltd/brands,9,10
West-Coast pharmaceutical works ltd.,https://medex.com.bd/companies/303/west-coast-pharmaceutical-works-ltd/brands,1,1
ZAS Corporation,https://medex.com.bd/companies/257/zas-corporation/brands,80,102
Zenith Pharmaceuticals Ltd.,https://medex.com.bd/companies/98/zenith-pharmaceuticals-ltd/brands,102,146
Ziska Pharmaceuticals Ltd.,https://medex.com.bd/companies/79/ziska-pharmaceuticals-ltd,204,377
